overall,reviewText
1.0,"Bought cables in 3ft, 6ft and 9ft.  NONE of them worked.  NO FUNCTIONALITY WHATSOEVER.  Tested many times, its as if the copper wires are just not connected to the terminations.  Do these even go through Quality Control before they leave the factory?  Waste of money and time."
1.0,"nope, cheap and slow"
1.0,"After exactly 45 days, the screen went dark. Power LED is lit & blue, my computer is able to detect the monitor but nothing on screen. Not even OSD. Tried different computers, different DVI/VGA cables, no dice.<br /><br />Had to reach out to the support, which advised me to send it in for repair to their Temple, Texas repair center. Have to pay one-way shipping and they may take 7-10 business days to do the repair (that's after they receive it). There is no other recourse but to be without a monitor for good 15-20 days (taking into account shipping time both ways).<br /><br />Should've just spent some extra money and bought a decent monitor to begin with."
1.0,IT HAS ALREADY CRACKED AT ONE OF THE CORNERS.
1.0,"Very disappointed the range of the router is very poor no more than 6mts, bought this to substitute the carrier default modem but the one of the carrier has more range."
1.0,"I have owned this router for less than 2 years (purchased in November 2013). The range and speed was acceptable, although, for the price I would have liked better. This would probably have been a 3 or 4 star review except, as of mid July, 2015, it has stopped working properly. One day, out of the blue, it no longer provided an internet connection. The wireless network still exists but all devices attached show no internet connection. The same happens for any devices connected via Ethernet through the router. I have tried all the following in troubleshooting:<br />1: connected straight to the modem and had an internet connection.<br />2: Reset to factory settings and connected to default network but no internet.<br />3: Connected replacement router via same ethernet cable to the modem and it provided internet without issue.<br />4: checked router, power adapter, and Ethernet cable for any signs of damage (we have a cat) but none exist.<br /><br />So, As a result, I am rather upset that this product did not even last 2 years. I paid $135 for this thing new. It I had wanted a disposable product i would have spent 30 bucks on a cheap wireless N router and called it a day.<br /><br />If anyone knows of a fix or something for this issue, I will try it and gladly take this up to 3 or so stars but for the time being, I really believe it deserves one star."
1.0,I cannot get it to work
1.0,Totally wasted $60 on this battery.  Didn't work on my 17&#34; MBP (Mid-2009).  Went to Apple and had them replace it with their battery for an arm and a leg - but at least it worked.
1.0,"Terrible product. This device has absolutely no support, I was not able to even find any digitally signed drivers to work with this device. The only thing that I could get to work was the capture software, which seemed to work fine with my webcam. You get what you pay for, invest in a better capture device if you want any results."
1.0,"I own a photographic studio, bought this SSD to speed up my production time but it is really disappointing that after 10 months this thing is dead!!!!<br /><br />I went and turned on the computer and Windows started crashing, and couldn't access my files. I restarted the PC went it came back there was no boot disk....<br />Took the disk out and plugged in to a enclosure and test it on another computer but it wasn't recognized.<br /><br />Thankfully I keep back ups of my WIP orders because this caused me a delay in my work delivery schedule.<br /><br />For those who are considering this SSD please consider look somewhere else, for the money paid for this thing it should lasted a year minimum!!!!"
1.0,I didnt work in my computer. Either a compatability issue or faulty ram i couldnt say
1.0,"Bad fit for asus vivo tab, it is way bigger than the actual tablet. I ordered the right one as well because it says the right model type on the outside of packaging. Wouldn't recommend."
1.0,Works 30% of the time.  iPad stops charging with a &#34;Device not supported&#34; error.
1.0,Not the Xbox 360 power supply
1.0,No appreciable increase in signal strength
1.0,The item was defective. The bottom cover was too big and the shipping it back cost almost as much as the item itself. It was not worth returning. Won't buy from here again.
1.0,Doesn't work... Came all the way from china.. So I wont bother returning it
1.0,"I ordered the Right Angle cable, but received the Left Angle version. Yes, they are both 90-degrees, but one bends the opposite way. The bag was properly marked, &#34;Right Angle,&#34; but I received the &#34;Left Angle&#34; cable. I would say this is a StarTech (manufacturer) problem, but the bag is a zip lock style and was not permanently sealed, so it could have been switched afterward -- maybe a customer put it in the wrong bag and returned it to Amazon.<br /><br />The photo shows the one I got and the bag it came in. Notice the bag is marked Right Angle, but it is clearly the Left Angle version. I need the other one.<br /><br />Not sure what I'll get if I order Right Angle again... Maybe someone at Amazon or StarTech can grab another one, look at the cable in the bag, verify it's the correct one and send it."
1.0,"Horrible, never worked in any of my devices.  Kept being mounted and unmounted."
1.0,"I don't understand what this is for. I thought it was to protect the consumer against damage, like insurance. I wish the details were more clear. I still don't understand what it is, Lol"
1.0,Smells like burning. Buzzes loudly. Does not work. Please send me a replacement.
1.0,These are not MoCA 1.1    They will conflict with your internet.  Do not purchase unless you are using dedicated coax.
1.0,Complete junk.  Don't waste your money.  Very tiny and terrible quality.
1.0,JUNK!!!! THROUGH IT AGAINST THE WALL YEAR AFTER BUYING THIS JUNK....
1.0,I spent 2 hours conversing with Amazon.  This is the second 6 inch Kindle Fire I have returned.  I will never buy another or recommend a kindle.  I have never had this many problems Registering a Kindle.
