overall,reviewText
4.0,I am not sure I don't know if it is the tablet or lollipop.  Sometimes I can't get a good connection.  Otherwise I do like it.  It does almost everything I want.  els well made.  I have one of there computers and I thought this was a good buy and was thinking that there computer was good.
4.0,Love that Finite makes different designs and that the grooves are pretty deep to hold the IPad Air up. That's why I bought the case. But...the auto awake and shut off does not work with my case and not sure why. So I have to set auto-lock in the iPad settings just so it shuts off with inactivity.
4.0,This is pretty much what I wanted. A backpack that was slimmer than the Ful backpack I previously used. I miss the multiple zippered compartments though. I wish there were more quick access front pockets although the lumbar pocket is pretty handy so far.
4.0,"Great laptop. got it for the wife for her birthday. No issues thus far. However, we paid only $323.00 for this at the Microsoft store in June. That's $200 less than the price here. $520 is way out of line for this laptop."
4.0,It works for its price. Can't complain.
4.0,"This was bought for my 5yr old. His class uses an online program for schoolwork. It is very thin and lightweight. We keep it a leather folio cover. It is very easy for him to use, Except, he doesn't always remember to hold the power button down to turn it on. We bought one in black and one in blue. They're both a great affordable option."
4.0,Perfect compatibility.
4.0,It took a week to get it delivered but it kit was new and worked great.
4.0,"I still recall the day I upgraded my 20GB Xbox 360 HD with a 100GB HD and thinking, &#34;There, now I'll never have to worry about storage again.&#34; Fast forward 4 years, lots of Rock Band DLC and the ability to store full games to the HD and I find myself at about 90% full. Enter the Seagate 2TB drive. Now I can have that feeling again of, &#34;There, now I'll never have to worry about storage again.&#34;<br /><br />This Seagate game drive seems to be a pretty typical 2TB hard drive, priced similar to other 2TB drives, but with officially licensed Xbox One or Xbox 360 compatibility and design. When you consider the basic Xbox One 500GB console is currently priced around $350 and the newer 1 TB model is about $400, you could get the 500GB model and one of these drives (currently $100) and spend about $450 and have a total of 2.5 TB of storage. Basically, an extra 1.5 TB for an extra $50, which isn't a bad deal. Of course, you have to consider your current usage and potential future storage needs.<br /><br />The main thing I think it lacks is a little more in the way of instructions for transferring data from the console to the drive. While it wasn't that difficult for me to figure out, it might be a little more challenging for a parent who is not as up to speed on how these work. Especially considering it is an officially licensed Xbox product, it was surprising there was little more than a short pamphlet describing the drive's features included. I wish it would have gone into more detail about how it handles in-game DLC licensing content vs game content. It was not the most user friendly in that regard. I finished transferring data and wasn't positive if I was going to be able to play with DLC once it was moved to the drive (I was). A little more clarity in what it would and would not transfer would have been helpful as well as explanation on what you need to do if you use it on an Xbox 360, then upgrade to the Xbox One. I plan to do this in a few weeks, so I mayupdate the review if I hit any other snags in that process."
4.0,I use this keyboard as a keyboard for my test bench (Where I work on computers to repair them) and it works great! They keys are a bit mushy and close to the edge but overall for the price this keyboard is great. The plastic is high quality and so are the key caps and connector. Would buy again if I ever needed anything like it.
4.0,good product
4.0,nice pfoduct
